direction	angle	index	help	smooth							
straight	-1	0	1	0						MAX	6
straight	-2	0	2	0							
straight	-1	0	3	0							
straight	-2	0	4	0							
straight	6	0	5	0							
straight	-1	0	6	0							
straight	-1	0	7	0							
straight	-3	0	8	0							
straight	11	0	9	0							
right	30	-1	1	0							
straight	-1	0	1	0							
straight	-2	0	2	0							
left	-37	1	1	0							
straight	-1	0	1	0							
straight	-4	0	2	0							
straight	0	0	3	0							
straight	-1	0	4	0							
straight	-1	0	5	0							
straight	1	0	6	0							
left	-32	1	1	0							
straight	2	0	1	0							
left	-27	1	1	0							
straight	2	0	1	0							
straight	2	0	2	0							
left	-37	1	1	0							
straight	-1	0	1	0							
straight	10	0	2	0							
straight	1	0	3	0							
straight	0	0	4	0							
straight	0	0	5	0							
straight	0	0	6	0							
straight	-1	0	7	0							
straight	8	0	8	0							
straight	0	0	9	0							
straight	-19	0	10	0							
straight	10	0	11	0							
straight	-3	0	12	0							
straight	1	0	13	0							
left	-34	1	1	0							
straight	0	0	1	0							
straight	-1	0	2	0							
straight	-1	0	3	0							
straight	8	0	4	0							
straight	0	0	5	0							
straight	-2	0	6	0							
straight	-1	0	7	0							
straight	-1	0	8	0							
straight	0	0	9	0							
straight	-1	0	10	0							
straight	0	0	11	0							
straight	-1	0	12	0							
straight	-2	0	13	0							
straight	-22	0	14	0							
straight	2	0	15	0							
straight	0	0	16	0							
straight	-4	0	17	0							
straight	-4	0	18	0							
straight	-2	0	19	0							
straight	0	0	20	0							
straight	2	0	21	0							
straight	0	0	22	0							
straight	0	0	23	0							
straight	1	0	24	0							
straight	0	0	25	0							
straight	-4	0	26	0							
left	-35	1	1	0							
straight	0	0	1	0							
straight	0	0	2	0							
straight	0	0	3	0							
straight	0	0	4	0							
straight	0	0	5	0							
straight	-1	0	6	0							
right	60	-1	1	0							
straight	24	0	1	0							
straight	1	0	2	0							
straight	2	0	3	0							
straight	14	0	4	0							
straight	3	0	5	0							
straight	3	0	6	0							
straight	3	0	7	0							
straight	-24	0	8	0							
right	27	-1	1	0							
straight	3	0	1	0							
straight	2	0	2	0							
straight	3	0	3	0							
straight	3	0	4	0							
straight	2	0	5	0							
straight	3	0	6	0							
right	31	-1	1	0							
straight	4	0	1	0							
straight	-24	0	2	0							
straight	3	0	3	0							
straight	6	0	4	0							
straight	-25	0	5	0							
straight	-16	0	6	0							
right	35	-1	1	0							
straight	3	0	1	0							
straight	6	0	2	0							
straight	6	0	3	0							
right	34	-1	1	0							
straight	5	0	1	0							
straight	5	0	2	0							
straight	4	0	3	0							
straight	7	0	4	0							
straight	25	0	5	0							
right	36	-1	1	0							
straight	5	0	1	0							
straight	4	0	2	0							
straight	7	0	3	0							
straight	12	0	4	0							
right	31	-1	1	0							
straight	8	0	1	0							
right	37	-1	1	0							
left	-26	1	1	0							
straight	16	0	1	0							
straight	6	0	2	0							
straight	3	0	3	0							
right	27	-1	1	0							
straight	5	0	1	0							
straight	5	0	2	0							
left	-28	1	1	0							
straight	2	0	1	0							
right	49	-1	1	0							
right	58	-1	2	0							
straight	3	0	1	0							
straight	0	0	2	0							
right	30	-1	1	0							
straight	4	0	1	0							
right	31	-1	1	0							
right	30	-1	2	0							
left	-28	1	1	0							
straight	16	0	1	0							
right	33	-1	1	0							
